Title,Artists,Song URL
Numb,Linkin Park,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
SP,Rosa Linn,https://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc
Watch This - ArizonaTears Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ArizonaTears",https://open.spotify.com/track/0FA4wrjDJvJTTU8AepZTup
Traumatizei - Ao Vivo Em Brasília,Henrique & Juliano,https://open.spotify.com/track/0JIYoXtJfORxI6gRpHv6ZW
Kill Bill (feat. Doja Cat),"SZA, Doja Cat",https://open.spotify.com/track/0CrcwVLUe8wzLUIXgjXVZJ
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
Just the Way You Are,Bruno Mars,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
AMYGDALA,Agust D,https://open.spotify.com/track/5fj32MKLHkut2Vod1UodcU
Life Goes On,Agust D,https://open.spotify.com/track/7gv3UYPh05ZDP7Io5BIsn7
I Know - PR1SVX Edit,"Kanii, PR1ISVX",https://open.spotify.com/track/3vcLw8QA3yCOkrj9oLSZNs
SORRY NOT SORRY,"Tyler, The Creator",https://open.spotify.com/track/410ZZP746AQeiywhKvXWCo
HAPPY,NF,https://open.spotify.com/track/3ZEno9fORwMA1HPecdLi0R
Christmas Kids,Roar,https://open.spotify.com/track/40gk32E7YaTFoQwDIWv2SY
"Sex, Drugs, Etc.",Beach Weather,https://open.spotify.com/track/7MlDNspYwfqnHxORufupwq
Miss You,"Oliver Tree, Robin Schulz",https://open.spotify.com/track/73vIOb4Q7YN6HeJTbscRx5
HOPE,NF,https://open.spotify.com/track/0EgLxY52mpGsXETyEsgVlP
Orange,"Sfera Ebbasta, Luciano",https://open.spotify.com/track/7jvwORp293fGCP6KfmE8aQ
All Night,"RAF Camora, Luciano",https://open.spotify.com/track/4taclmQm9wFcK4dKQjR5ny
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",https://open.spotify.com/track/38UYeBLfvpnDSG9GznZdnL
DEATH,Melanie Martinez,https://open.spotify.com/track/0pwnoUhy57HdGjj1zNzzNV
River,Miley Cyrus,https://open.spotify.com/track/04CqLjewJiSAqM210vZAmT
Eat Your Young,Hozier,https://open.spotify.com/track/2Jw3VjB1xy5KHBqEeAC6VK
FAERIE SOIRÉE,Melanie Martinez,https://open.spotify.com/track/3SeNIwGVirXfaTWAOXcU2k
Photograph,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
The Light,Juice WRLD,https://open.spotify.com/track/6j5BK1cFX9TjJd5EXHGgAn
Jaded,Miley Cyrus,https://open.spotify.com/track/3AAY8YicetRPlDAkibHLiS
After Hours,The Weeknd,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
Heartless,The Weeknd,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
Bloody Mary,Lady Gaga,https://open.spotify.com/track/53jnnqFSRGMDB9ADrNriCA
Shinunoga E-Wa,Fujii Kaze,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW
Eyes Open (Taylor's Version),Taylor Swift,https://open.spotify.com/track/2NIBaWXdjaTDmytjjwbEfP
If This Was A Movie (Taylor's Version),Taylor Swift,https://open.spotify.com/track/0kAZ3H6G9Zac4PMpmobMkj
Padre Tiempo,Eladio Carrion,https://open.spotify.com/track/1PtXtGJSDKTkB5urVEZ7rf
Thinkin' Bout Me,Morgan Wallen,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK
Space Song,Beach House,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
Die For You - Remix,"The Weeknd, Ariana Grande",https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
Love On The Brain,Rihanna,https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp
Thousand Miles (feat. Brandi Carlile),"Miley Cyrus, Brandi Carlile",https://open.spotify.com/track/1GN6qqehnqUfUHH1gfK81v
Muddy Feet (feat. Sia),"Miley Cyrus, Sia",https://open.spotify.com/track/1S1WWTuydW6zljNeHOpZXe
Handstand,Miley Cyrus,https://open.spotify.com/track/6fcZVY3WjwKxVKlKFu84rF
Wildcard,Miley Cyrus,https://open.spotify.com/track/1rpfEeYbtYDcnLWSBZBmNH
Diamonds,Rihanna,https://open.spotify.com/track/1z9kQ14XBSN0r2v6fx4IdG
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",https://open.spotify.com/track/73zawW1ttszLRgT9By826D
Thought You Should Know,Morgan Wallen,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb
 '98 Braves,Morgan Wallen,https://open.spotify.com/track/3oZ6dlSfCE9gZ55MGPJctc
Sunrise,Morgan Wallen,https://open.spotify.com/track/0JtgoDDf0ggWaoXCGhcOoT
Born With A Beer In My Hand,Morgan Wallen,https://open.spotify.com/track/1BAU6v0fuAV914qMUEESR1
Devil Don't Know,Morgan Wallen,https://open.spotify.com/track/2PsbT927UanvyH9VprlNOu
Tennessee Numbers,Morgan Wallen,https://open.spotify.com/track/5NzfnUyVaNrxa2VtoyBWlR
Whiskey Friends,Morgan Wallen,https://open.spotify.com/track/2ewSCWOL7EAjgmgqfI1UlS
F150-50,Morgan Wallen,https://open.spotify.com/track/77kye8TttXpEbvgoiVjZdo
In The Bible (feat. HARDY),"Morgan Wallen, HARDY",https://open.spotify.com/track/2aw1aEAxMe05MZIS5XiK8U
Keith Whitley,Morgan Wallen,https://open.spotify.com/track/1vcJdUJDM2NVXBsGncmLyh
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,https://open.spotify.com/track/38T0tPVZHcPZyhtOcCP7pF
Lost,Linkin Park,https://open.spotify.com/track/373gDROnujxNTFa1FojYIl
After Dark,Mr.Kitty,https://open.spotify.com/track/5FkJHVudUByVjanCqFXRql
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS, FIFA Sound",https://open.spotify.com/track/1RDvyOk4WtPCtoqciJwVn8
SUPEREROI,Mr.Rain,https://open.spotify.com/track/42koUxIEdY4kVqcLRjp6uE
Si Me Sobrara el Tiempo,Duki,https://open.spotify.com/track/2ypbIXW3a7fsLdLtLpZWDZ
TRUSTFALL,P!nk,https://open.spotify.com/track/4FWbsd91QSvgr1dSWwW51e
Escapism. - Sped Up,"RAYE, 070 Shake",https://open.spotify.com/track/4rPJSqrov3zqGwXlemLBMw
Love You Anyway,Luke Combs,https://open.spotify.com/track/3qXsX3mYSsD1DmAvc3PE3N
This Is What You Came For,Calvin Harris Rihanna,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
This Is What You Came For (feat. Rihanna),Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
Atlantis,Seafret,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE
Party In The U.S.A.,Miley Cyrus,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
Special (feat. SZA),"Lizzo, SZA",https://open.spotify.com/track/0rc1HCVoReqzzXF9jssqZk
How Do I Say Goodbye,Dean Lewis,https://open.spotify.com/track/1aOl53hkZGHkl2Snhr7opL
Komet,"Udo Lindenberg, Apache 207",https://open.spotify.com/track/7oQepKHmXDaPC3rgeLRvQu
MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
THE LONELIEST,Måneskin,https://open.spotify.com/track/7exHT4swWOKL5addPeqkLP
WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,"TWISTED, Oliver Tree",https://open.spotify.com/track/5Zlb01Jcn0Ld49zazzZJSB
AHORA QUÉ,Quevedo,https://open.spotify.com/track/5qP24CrDI0rmY5zwRvUfzU
Till I Collapse,"Eminem, Nate Dogg",https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
'Till I Collapse,"Eminem, Nate Dogg",https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
I Wish you Roses,Kali Uchis,https://open.spotify.com/track/6BQrmjAgPfPTwILoFEK3Hd
Devil by the Window,TOMORROW X TOGETHER,https://open.spotify.com/track/53H3sGmqiXWO4MwuZAJfyn
the BLACK seminole.,Lil Yachty,https://open.spotify.com/track/1rydhdFtKe2CRkiaVb7aGF
YANKEE,Quevedo,https://open.spotify.com/track/0FirgnvrpCkkhdaq64Gfen
Good Days,SZA,https://open.spotify.com/track/4PMqSO5qyjpvzhlLI5GnID
KICK BACK,Kenshi Yonezu,https://open.spotify.com/track/3khEEPRyBeOUabbmOPJzAG
Gilded Lily,Cults,https://open.spotify.com/track/3Z0qLOS0cqWKPHXkbTXmNF
Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",https://open.spotify.com/track/02dRkCEc8Q5ch4TTcnLxOn
Rumble,"Skrillex, Fred again.., Flowdan",https://open.spotify.com/track/1GfBLbAhZUWdseuDqhocmn
i'm yours,Isabel LaRosa,https://open.spotify.com/track/37vVp2sWHuuIBOSl1NswP6
Yonaguni,Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
I'll Be Waiting,Cian Ducrot,https://open.spotify.com/track/0JIhRhZPF5j5dx0FGqTWxy
Bejeweled,Taylor Swift,https://open.spotify.com/track/3qoftcUZaUOncvIYjFSPdE
Don't Stop Believin',Journey,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
Mr. Brightside,The Killers,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
Pactos - Ao Vivo,"Matheus & Kauan, Jorge & Mateus",https://open.spotify.com/track/2M4kQD87lKnAS9vFlb4Bez
All I Want for Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
Memories (feat. Kid Cudi),David Guetta,https://open.spotify.com/track/0Xh6R6XLoTDRBYriQRgkHj
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",https://open.spotify.com/track/0Xh6R6XLoTDRBYriQRgkHj
Santa Tell Me,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
Christmas (Baby Please Come Home),Darlene Love,https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI
Christmas Lights,Coldplay,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
Do They Know It's Christmas? - 1984 Version,Band Aid,https://open.spotify.com/track/4Yg2w0P29BBBMixyeNjDtj
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
