Title,Artists,Danceability,Energy,Loudness_fixed,Speechiness,Acousticness,Instrumentalness,Valence,Song URL,Cluster
El Merengue,"Marshmello, Manuel Turizo",0.775,0.677,-4.703,0.044,0.031,0.005,0.698,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,0
Area Codes,Kali,0.823,0.388,-10.867,0.491,0.019,0.0,0.507,https://open.spotify.com/track/7sliFe6W30tPBPh6dvZsIH,1
Night Changes,One Direction,0.672,0.52,-7.747,0.035,0.859,0.0,0.37,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,2
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.755,0.522,-4.368,0.058,0.533,0.0,0.925,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,0
Queencard,(G)I-DLE,0.815,0.834,-2.828,0.048,0.033,0.0,0.692,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC,0
Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",0.571,0.549,-0.00738,0.404,0.18,0.0,0.447,https://open.spotify.com/track/5wG3HvLhF6Y5KTGlK0IW3J,1
Lavender Haze,Taylor Swift,0.733,0.436,-10.489,0.08,0.258,0.001,0.098,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,3
No Role Modelz,J. Cole,0.69,0.521,-8.492,0.339,0.324,0.0,0.494,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,1
Que Vuelvas,"Carin Leon, Grupo Frontera",0.491,0.643,-4.309,0.044,0.187,0.0,0.779,https://open.spotify.com/track/6Um358vY92UBv5DloTRX9L,0
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.795,0.8,-0.00632,0.031,0.035,0.0,0.934,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h,0
アイドル,YOASOBI,0.574,0.935,-2.783,0.093,0.112,0.0,0.836,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,0
Sure Thing,Miguel,0.684,0.607,-8.127,0.1,0.027,0.0,0.498,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,3
505,Arctic Monkeys,0.52,0.852,-5.866,0.054,0.002,0.0,0.234,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,4
Players,Coi Leray,0.954,0.516,-5.817,0.16,0.03,0.0,0.624,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij,3
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",0.784,0.7,-5.289,0.04,0.011,0.0,0.204,https://open.spotify.com/track/6l8mgVN9Xf1hiDIFGA6CTE,3
Someone You Loved,Lewis Capaldi,0.501,0.405,-5.679,0.032,0.751,0.0,0.446,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2
